date,pe_ratio
"June 29, 2016",40.41
"June 28, 2016",39.98
"June 27, 2016",39.69
"June 24, 2016",39.55
"June 23, 2016",39.34
"June 22, 2016",39.45
"June 21, 2016",39.53
"June 20, 2016",39.20
"June 17, 2016",39.47
"June 16, 2016",39.61
"June 15, 2016",39.34
"June 14, 2016",39.39
"June 13, 2016",39.00
"June 10, 2016",38.91
"June 9, 2016",39.09
"June 8, 2016",38.50
"June 7, 2016",38.19
"June 6, 2016",38.17
"June 3, 2016",38.22
"June 2, 2016",37.48
"June 1, 2016",37.55
"May 31, 2016",37.28
"May 27, 2016",37.69
"May 26, 2016",37.56
"May 25, 2016",37.42
"May 24, 2016",37.61
"May 23, 2016",37.00
"May 20, 2016",37.22
"May 19, 2016",36.75
"May 18, 2016",36.64
"May 17, 2016",37.34
"May 16, 2016",37.97
"May 13, 2016",37.69
"May 12, 2016",37.44
